Nodos AristasExistentes Tiempo
9 39 16741
9 38 17033
9 34 16697
9 38 17124
9 38 9574
9 38 17364
9 43 17776
9 32 17041
9 37 17099
9 38 16836
9 30 16426
9 35 17072
9 39 17307
9 33 17007
9 32 16687
9 34 16819
9 38 17472
9 36 16855
9 44 17518
9 33 16726
9 36 17064
9 40 17414
9 43 17567
9 37 17250
9 42 17724
9 32 17345
9 33 17166
9 35 17074
9 38 16986
9 39 16798
9 37 16803
9 33 17070
9 38 17262
9 35 18122
9 36 18543
9 41 18050
9 33 16858
9 39 17186
9 34 16988
9 40 16955
9 40 16841
9 30 16523
9 37 17044
9 44 17653
9 26 16860
9 40 17414
9 39 17084
9 40 17215
9 38 17371
9 33 16820
9 38 17192
9 32 16919
9 35 17276
9 34 16887
9 35 17309
9 35 16718
9 37 16975
9 35 16667
9 34 16642
9 41 17180
9 38 17017
9 33 16794
9 33 16803
9 35 16894
9 30 17935
9 31 16509
9 30 16444
9 40 17058
9 34 16618
9 39 17027
9 30 16236
9 38 17252
9 32 16923
9 38 16985
9 41 17326
9 33 16733
9 38 2490
9 35 18054
9 41 17561
9 36 16747
9 39 17087
10 21 26303
10 21 18803
10 20 18483
10 19 18313
10 22 19528
10 22 18540
10 21 18537
10 19 20799
10 20 20164
10 22 21338
10 20 20875
10 20 20904
10 24 18661
10 26 18696
10 26 18889
10 23 18832
10 23 18867
10 17 20908
10 15 20851
10 22 18789
10 20 28609
10 18 21565
10 22 21691
10 27 18797
10 20 18539
10 21 17933
10 27 18671
10 15 20528
10 24 19019
10 17 20617
10 20 37539
10 24 20957
10 20 18526
10 18 18180
10 19 17935
10 17 17796
10 24 9477
10 17 20956
10 22 18222
10 20 20208
10 20 18489
10 15 20448
10 21 18432
10 22 18329
10 23 18476
10 22 20624
10 21 18333
10 22 18251
10 21 18392
10 15 18070
10 26 18222
10 22 18497
10 18 20338
10 17 17998
10 17 18358
10 24 18705
10 18 38966
10 24 18818
10 14 21407
10 18 18130
10 19 17798
10 23 37547
10 27 18565
10 22 21191
10 19 20922
10 13 20848
10 20 38127
10 20 18389
10 19 18465
10 19 18418
10 23 20988
10 19 20959
10 22 19090
10 25 19318
10 18 21101
10 18 21819
10 22 37853
10 22 783
10 21 21475
10 21 39042
10 20 21555
10 21 19177
10 22 19795
10 20 20876
10 20 18446
10 20 18304
10 25 18328
10 18 20430
10 19 19104
10 17 18596
10 21 18588
10 21 20903
10 21 21091
10 19 20527
10 19 18729
10 24 18359
10 19 20113
10 21 18912
10 15 21270
10 21 18318
11 21 19051
11 17 21396
11 23 20875
11 23 22811
11 21 21755
11 20 22111
11 17 19328
11 18 20894
11 17 21709
11 25 19649
11 22 40560
11 15 21441
11 18 21536
11 18 22259
11 23 19450
11 21 18803
11 21 100024
11 23 21047
11 18 20990
11 21 21681
11 19 21683
11 21 19380
11 22 21560
11 16 24425
11 27 19667
11 22 19453
11 21 21078
11 23 19285
11 18 39696
11 16 21691
11 20 22125
11 23 19656
11 17 20785
11 14 21252
11 20 21881
11 20 22044
11 23 22013
11 19 21688
11 22 22050
11 21 20868
11 28 19800
11 19 21528
11 23 39862
11 22 19320
11 19 22462
11 16 21499
11 20 19484
11 24 19417
11 20 21241
11 19 21103
11 20 19210
11 17 21423
11 17 18995
11 17 22862
11 19 102186
11 19 21786
11 23 19568
11 25 19339
11 18 21311
11 20 21203
11 17 36327
11 19 21262
11 19 21291
11 20 22150
11 20 21340
11 20 21792
11 24 22007
11 16 20950
11 19 21124
11 20 36889
11 13 21810
11 21 21624
11 22 21743
11 18 19009
11 27 19508
11 18 21877
11 24 20828
11 23 38462
11 15 24692
11 20 19339
11 16 22437
11 22 20481
11 24 19817
11 17 22001
11 18 21745
11 21 21982
11 15 21844
11 28 21880
11 26 19928
11 13 21362
11 22 21283
11 25 40122
11 15 22246
11 20 20989
11 23 19661
11 20 21970
11 13 25619
11 17 21396
11 22 19339
11 21 21664
12 26 19908
12 30 20377
12 29 19632
12 24 22797
12 33 20198
12 30 20313
12 28 20741
12 25 19894
12 26 22426
12 24 20111
12 30 42324
12 29 19842
12 27 19700
12 30 20491
12 28 19710
12 32 38038
12 29 19949
12 28 19911
12 26 22107
12 32 19692
12 31 39703
12 32 20278
12 31 20138
12 25 19710
12 26 22499
12 31 20596
12 25 20186
12 44 20761
12 31 19883
12 34 121508
12 31 20795
12 34 18891
12 29 18021
12 36 18451
12 23 29340
12 27 18411
12 28 21287
12 30 18081
12 29 18176
12 38 55849
12 31 18500
12 36 18449
12 25 17889
12 28 18390
12 23 20871
12 34 18435
12 33 18979
12 31 18630
12 33 18449
12 29 18605
12 32 18771
12 33 18395
12 34 18531
12 32 18133
12 26 20146
12 26 20421
12 27 18680
12 29 17964
12 31 18222
12 29 17890
12 37 29001
12 27 17875
12 32 20050
12 27 17814
12 19 24021
12 24 18015
12 30 18901
12 37 18677
12 33 18315
12 33 123735
12 30 19036
12 34 18421
12 34 17820
12 29 17604
12 32 56148
12 27 20906
12 29 17914
12 32 17913
12 32 18049
12 29 20078
12 29 17943
12 28 20458
12 24 20552
12 26 17944
12 28 27854
12 30 19692
12 30 17920
12 23 20442
12 31 18487
12 34 39913
12 30 18265
12 35 19034
12 25 18504
12 30 19942
12 31 56032
12 23 19695
12 27 18053
12 30 20877
12 27 18704
12 24 55201
13 33 19223
13 31 20956
13 30 18451
13 29 18667
13 25 51033
13 28 31772
13 27 20573
13 30 21913
13 39 12300
13 25 23710
13 30 23491
13 26 20455
13 32 56905
13 35 19304
13 30 18699
13 34 19205
13 31 20818
13 25 21442
13 29 20910
